"filename", "language", "JSON with Comments", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 1, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\.prettierrc.json", "JSON", 0, 0, 6, 0, 1, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\config.ts", "TypeScript", 0, 16, 0, 0, 9, 25
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\index.ts", "TypeScript", 0, 4, 0, 1, 1, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\project.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\status.ts", "TypeScript", 0, 6, 0, 1, 1, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\user.ts", "TypeScript", 0, 5, 0, 1, 1, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\index.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\project.controller.ts", "TypeScript", 0, 48, 0, 0, 6, 54
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\task.controller.ts", "TypeScript", 0, 30, 0, 0, 4, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\timer.controller.ts", "TypeScript", 0, 38, 0, 0, 4, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\user.controller.ts", "TypeScript", 0, 66, 0, 0, 8, 74
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\config.ts", "TypeScript", 0, 3, 0, 0, 3, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\project.dto.ts", "TypeScript", 0, 14, 0, 0, 3, 17
