"filename", "language", "TypeScript", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\index.ts", "TypeScript", 0, 0, 0, 0, -1, -1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\task.controller.ts", "TypeScript", 16, 0, 0, 0, 0, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\timer.controller.ts", "TypeScript", 10, 0, 0, 1, 4, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\user.controller.ts", "TypeScript", 9, 0, 0, 0, 1, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\project.dto.js", "JavaScript", 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\task.dto.js", "JavaScript", 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\timer.dto.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\user.dto.js", "JavaScript", 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\user.dto.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\task.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\timer.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\user.ts", "TypeScript", 9, 0, 0, 0, 3, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\index.ts", "TypeScript", 30, 0, 0, -3, 10, 37
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package-lock.json", "JSON", 0, 885, 0, 0, 0, 885
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package.json", "JSON", 0, 15, 0, 0, 0, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\tasks.ts", "TypeScript", 28, 0, 0, 8, 4, 40
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\timers.ts", "TypeScript", 33, 0, 0, 0, 5, 38
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\users.ts", "TypeScript", 20, 0, 0, 0, 3, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\internal\eventSource.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\internal\scheduler.ts", "TypeScript", 52, 0, 0, 4, 8, 64
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\task\task.service.ts", "TypeScript", 53, 0, 0, 15, 14, 82
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\timer\timer.service.ts", "TypeScript", 16, 0, 0, 1, 5, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\user\user.service.ts", "TypeScript", 13, 0, 0, 1, 1, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\types.d.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\ReadableBuff.ts", "TypeScript", 11, 0, 0, 0, 1, 12
"Total", "-", 321, 900, 6, 27, 66, 1320
