"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\.prettierrc.json", "JSON", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\config.ts", "TypeScript", 0, 0, 16, 0, 0, 9, 25
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\index.ts", "TypeScript", 0, 0, 4, 0, 1, 1, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\project.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\status.ts", "TypeScript", 0, 0, 6, 0, 1, 1, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\user.ts", "TypeScript", 0, 0, 5, 0, 1, 1, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\project.controller.ts", "TypeScript", 0, 0, 48, 0, 0, 6, 54
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\task.controller.ts", "TypeScript", 0, 0, 46, 0, 0, 4, 50
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\timer.controller.ts", "TypeScript", 0, 0, 48, 0, 1, 8, 57
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\user.controller.ts", "TypeScript", 0, 0, 75, 0, 0, 9, 84
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\config.ts", "TypeScript", 0, 0, 3, 0, 0, 3, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\project.dto.js", "JavaScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\project.dto.ts", "TypeScript", 0, 0, 14, 0, 0, 3, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\task.dto.js", "JavaScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\task.dto.ts", "TypeScript", 0, 0, 4, 0, 0, 1, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\timer.dto.ts", "TypeScript", 0, 0, 4, 0, 0, 2, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\user.dto.js", "JavaScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\user.dto.ts", "TypeScript", 0, 0, 16, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\index.ts", "TypeScript", 0, 0, 15, 0, 1, 3, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\project.ts", "TypeScript", 0, 0, 37, 0, 0, 11, 48
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\task.ts", "TypeScript", 0, 0, 32, 0, 0, 10, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\timer.ts", "TypeScript", 0, 0, 34, 0, 0, 12, 46
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\user.ts", "TypeScript", 0, 0, 56, 0, 0, 19, 75
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\user_project.ts", "TypeScript", 0, 0, 16, 0, 0, 8, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\index.ts", "TypeScript", 0, 0, 66, 0, 4, 21, 91
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\middlewares\authorize.ts", "TypeScript", 0, 0, 30, 0, 0, 2, 32
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\email.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\index.ts", "TypeScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\report.ts", "TypeScript", 0, 0, 40, 0, 0, 4, 44
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package-lock.json", "JSON", 0, 11091, 0, 0, 0, 1, 11092
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package.json", "JSON", 0, 77, 0, 0, 0, 1, 78
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\index.ts", "TypeScript", 0, 0, 11, 0, 0, 4, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\projects.ts", "TypeScript", 0, 0, 67, 0, 0, 9, 76
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\tasks.ts", "TypeScript", 0, 0, 70, 0, 8, 11, 89
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\timers.ts", "TypeScript", 0, 0, 85, 0, 0, 12, 97
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\users.ts", "TypeScript", 0, 0, 106, 0, 0, 16, 122
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\integrations\jira\jira.service.ts", "TypeScript", 0, 0, 10, 0, 0, 3, 13
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\internal\eventSource.ts", "TypeScript", 0, 0, 4, 0, 0, 2, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\internal\scheduler.ts", "TypeScript", 0, 0, 53, 0, 14, 10, 77
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\project\project.service.ts", "TypeScript", 0, 0, 131, 0, 0, 23, 154
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\shared.service.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\task\task.service.ts", "TypeScript", 0, 0, 153, 0, 15, 33, 201
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\timer\timer.service.ts", "TypeScript", 0, 0, 151, 0, 1, 24, 176
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\user\user.service.ts", "TypeScript", 0, 0, 126, 0, 3, 29, 158
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\tsconfig.json", "JSON with Comments", 15, 0, 0, 0, 80, 9, 104
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\types.d.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\types\error.ts", "TypeScript", 0, 0, 10, 0, 1, 3, 14
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\types\jira.ts", "TypeScript", 0, 0, 30, 0, 0, 4, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\ReadableBuff.ts", "TypeScript", 0, 0, 11, 0, 0, 1, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\auth.ts", "TypeScript", 0, 0, 17, 0, 0, 5, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\email.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\jira.ts", "TypeScript", 0, 0, 19, 0, 0, 3, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\messages\error.ts", "TypeScript", 0, 0, 3, 0, 1, 2, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\projects.ts", "TypeScript", 0, 0, 35, 0, 0, 7, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\timer\index.ts", "TypeScript", 0, 0, 65, 0, 4, 15, 84
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\user.ts", "TypeScript", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\validations\user.ts", "TypeScript", 0, 0, 8, 0, 0, 3, 11
"Total", "-", 15, 11174, 1819, 6, 136, 390, 13540
