"filename", "language", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\report.controller.ts", "TypeScript", 0, 11, 0, 1, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\task.controller.ts", "TypeScript", 0, 9, 0, 3, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\user.controller.ts", "TypeScript", 0, 9, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\user.dto.ts", "TypeScript", 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\user.ts", "TypeScript", 0, 3, 0, 1, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\index.ts", "TypeScript", 0, -17, -2, -7, -26
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\dailySummary.ts", "TypeScript", 0, 60, 0, 7, 67
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\email.ts", "TypeScript", 0, 6, 0, 0, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\report.ts", "TypeScript", 0, 18, 0, 2, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package-lock.json", "JSON", 2380, 0, 0, 0, 2380
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package.json", "JSON", 7, 0, 0, 0, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\index.ts", "TypeScript", 0, 2, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\reports.ts", "TypeScript", 0, 26, 1, 4, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\tasks.ts", "TypeScript", 0, 12, 0, 1, 13
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\timers.ts", "TypeScript", 0, 5, 0, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\users.ts", "TypeScript", 0, 16, 0, 2, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\project\project.service.ts", "TypeScript", 0, 1, 0, -1, 0
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\report\report.service.ts", "TypeScript", 0, 31, 1, 2, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\task\task.service.ts", "TypeScript", 0, 56, -11, 9, 54
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\user\user.service.ts", "TypeScript", 0, 11, 0, 2, 13
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\email.ts", "TypeScript", 0, 6, 0, 0, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\report.ts", "TypeScript", 0, 76, 5, 14, 95
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\timer\index.ts", "TypeScript", 0, 9, 0, 2, 11
"Total", "-", 2387, 351, -6, 44, 2776
