"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\.prettierrc.json", "JSON", 0, 0, 6, 0, 0, 1, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\config.ts", "TypeScript", 0, 16, 0, 0, 0, 9, 25
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\index.ts", "TypeScript", 0, 4, 0, 0, 1, 1, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\project.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\status.ts", "TypeScript", 0, 6, 0, 0, 1, 1, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\constants\user.ts", "TypeScript", 0, 5, 0, 0, 1, 1, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\project.controller.ts", "TypeScript", 0, 48, 0, 0, 0, 6, 54
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\report.controller.ts", "TypeScript", 0, 11, 0, 0, 0, 1, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\task.controller.ts", "TypeScript", 0, 55, 0, 0, 0, 7, 62
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\timer.controller.ts", "TypeScript", 0, 48, 0, 0, 1, 8, 57
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\user.controller.ts", "TypeScript", 0, 84, 0, 0, 0, 11, 95
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\config.ts", "TypeScript", 0, 3, 0, 0, 0, 3, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\project.dto.js", "JavaScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\project.dto.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\task.dto.js", "JavaScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\task.dto.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\timer.dto.ts", "TypeScript", 0, 4, 0, 0, 0, 2, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\user.dto.js", "JavaScript", 0, 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\user.dto.ts", "TypeScript", 0, 17, 0, 0, 0, 4, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\index.ts", "TypeScript", 0, 15, 0, 0, 1, 3, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\project.ts", "TypeScript", 0, 37, 0, 0, 0, 11, 48
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\task.ts", "TypeScript", 0, 32, 0, 0, 0, 10, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\timer.ts", "TypeScript", 0, 34, 0, 0, 0, 12, 46
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\user.ts", "TypeScript", 0, 59, 0, 0, 0, 20, 79
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\user_project.ts", "TypeScript", 0, 16, 0, 0, 0, 8, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\index.ts", "TypeScript", 0, 49, 0, 0, 2, 14, 65
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\middlewares\authorize.ts", "TypeScript", 0, 30, 0, 0, 0, 2, 32
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\dailySummary.ts", "TypeScript", 0, 60, 0, 0, 0, 7, 67
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\email.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\index.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\report.ts", "TypeScript", 0, 58, 0, 0, 0, 6, 64
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package-lock.json", "JSON", 0, 0, 13471, 0, 0, 1, 13472
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package.json", "JSON", 0, 0, 84, 0, 0, 1, 85
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\index.ts", "TypeScript", 0, 13, 0, 0, 0, 4, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\projects.ts", "TypeScript", 0, 67, 0, 0, 0, 9, 76
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\reports.ts", "TypeScript", 0, 26, 0, 0, 1, 4, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\tasks.ts", "TypeScript", 0, 82, 0, 0, 8, 12, 102
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\timers.ts", "TypeScript", 0, 90, 0, 0, 0, 12, 102
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\users.ts", "TypeScript", 0, 122, 0, 0, 0, 18, 140
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\integrations\jira\jira.service.ts", "TypeScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\internal\eventSource.ts", "TypeScript", 0, 4, 0, 0, 0, 2, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\internal\scheduler.ts", "TypeScript", 0, 53, 0, 0, 14, 10, 77
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\project\project.service.ts", "TypeScript", 0, 132, 0, 0, 0, 22, 154
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\report\report.service.ts", "TypeScript", 0, 31, 0, 0, 1, 2, 34
