"filename", "language", "JSON", "TypeScript", "XML", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\__tests__\client\client.test.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 2, 4, 92
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\__tests__\project\project.test.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 3, 71
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\__tests__\task\task.test.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 2, 3, 64
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\__tests__\timer\timer.test.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 2, 2, 48
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\__tests__\user\user.test.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 5, 70
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\config\config.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\client.controller.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 1, 11, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\controllers\report.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\clover.xml", "XML", 0, 0, 1803, 0, 0, 0, 0, 1, 1804
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\coverage-final.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\base.css", "CSS", 0, 0, 0, 203, 0, 0, 9, 13, 225
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\block-navigation.js", "JavaScript", 0, 0, 0, 0, 66, 0, 7, 15, 88
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\config.ts.html", "HTML", 0, 0, 0, 0, 0, 143, 0, 14, 157
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\constants\index.html", "HTML", 0, 0, 0, 0, 0, 116, 0, 15, 131
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\constants\project.ts.html", "HTML", 0, 0, 0, 0, 0, 83, 0, 14, 97
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\constants\status.ts.html", "HTML", 0, 0, 0, 0, 0, 92, 0, 14, 106
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\controllers\client.controller.ts.html", "HTML", 0, 0, 0, 0, 0, 275, 0, 14, 289
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\controllers\index.html", "HTML", 0, 0, 0, 0, 0, 172, 0, 19, 191
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\controllers\project.controller.ts.html", "HTML", 0, 0, 0, 0, 0, 260, 0, 14, 274
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\controllers\report.controller.ts.html", "HTML", 0, 0, 0, 0, 0, 137, 0, 14, 151
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\controllers\task.controller.ts.html", "HTML", 0, 0, 0, 0, 0, 317, 0, 14, 331
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\controllers\timer.controller.ts.html", "HTML", 0, 0, 0, 0, 0, 239, 0, 14, 253
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\controllers\user.controller.ts.html", "HTML", 0, 0, 0, 0, 0, 413, 0, 14, 427
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\db\config.ts.html", "HTML", 0, 0, 0, 0, 0, 110, 0, 14, 124
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\db\index.html", "HTML", 0, 0, 0, 0, 0, 116, 0, 15, 131
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\db\index.ts.html", "HTML", 0, 0, 0, 0, 0, 125, 0, 14, 139
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\db\models\client.ts.html", "HTML", 0, 0, 0, 0, 0, 140, 0, 14, 154
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\db\models\index.html", "HTML", 0, 0, 0, 0, 0, 172, 0, 19, 191
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\db\models\project.ts.html", "HTML", 0, 0, 0, 0, 0, 236, 0, 14, 250
